ts_utc,btc_price,bull_score,phase_label,ret_7d,ret_30d,ema20,ema50,ema200,ema20_gt_ema50,ema50_gt_ema200,price_gt_ema200,fr_current,fr_state,cb_premium,cb_state,oi_change_24h,vol_ratio,drawdown_90d
2026-07-08T07:03:09.733496+00:00,62627.6,-7,強弱気,0.06193471810089024,-0.0076233546246397,62722.018677743734,65445.41981286276,75026.28889803971,False,False,False,0.004846,hot,-0.0015619311613410017,cold,-0.021221157604482954,0.7594308386428443,-0.23780013606452233
2026-07-08T13:10:21.886061+00:00,61953.3,-7,強弱気,0.040593585447582514,-0.0183080938127389,62657.79963012469,65418.97667560785,75019.57944530339,False,False,False,0.000724,hot,-0.0011458630936528843,cold,-0.02050015955535711,0.7750264723414572,-0.24600660363236282
2026-07-08T17:07:42.231729+00:00,62125.2,-7,強弱気,0.03270570517157401,-0.015584222143698145,62674.17105869611,65425.717852078444,75021.28989306458,False,False,False,0.007171,hot,-0.0012104588798104005,cold,-0.025714155458207655,0.5440908039718618,-0.2439145203238774
2026-07-08T20:10:52.662946+00:00,62274.8,-7,強弱気,0.024256578947368546,-0.01321370904487007,62688.418677743735,65431.58451874511,75022.7784502785,False,False,False,0.007171,hot,-0.0009119258512271557,cold,-0.012583598811643837,0.5574882247763296,-0.24209383583900568
2026-07-09T10:14:10.912217+00:00,63016.1,-7,強弱気,0.02685936272768452,0.020883891975958635,62726.67770718455,65353.85374191065,74827.53521789245,False,False,False,0.006615,hot,-0.001342514055931715,cold,0.0025323714822431675,0.6441795478635813,-0.23307195476524
2026-07-09T21:06:45.370552+00:00,63372.3,-7,強弱気,0.030536064200863633,0.02665446239085001,62760.60151670836,65367.82236936163,74831.07949649941,False,False,False,0.004912,hot,-0.0007858322958138321,cold,0.013820999349391183,0.9724515687903781,-0.22873687579791857
2026-07-10T10:04:42.440164+00:00,64343.8,-6,強弱気,0.03694690835954839,0.046068856984462725,62901.847768007174,65340.08428939635,74646.51346261713,False,False,False,0.007247,hot,-0.0006191738753384752,cold,0.06669500764722236,1.1113054489272043,-0.2169133799620041
2026-07-11T01:07:49.357128+00:00,64121.6,-7,強弱気,0.02522548162170879,0.00822979266708801,63000.56393951457,65312.492091637345,74478.6928905027,False,False,False,0.01,hot,-0.000809243686994701,cold,0.04117891632742654,0.7744523198167871,-0.2196176319174753
2026-07-11T11:13:03.717932+00:00,64217.2,-7,強弱気,0.024756725358967557,0.009732979864210067,63009.66870141933,65316.24111124519,74479.6441342838,False,False,False,0.000942,hot,-0.0009931918551415952,cold,-0.0007867313221597838,0.6399941984502496,-0.21845414637767757
2026-07-11T12:06:38.500802+00:00,64221.8,-7,強弱気,0.02602043995264669,0.009805308955284975,63010.10679665743,65316.42150340205,74479.68990542807,False,False,False,0.000942,hot,-0.0010976023717803804,cold,-0.0018278735348931097,0.5738991785419084,-0.21839816276383794
